Database,Actor's Statement
Audience,"Name two creative works that may have a similar audience to this specific submission? Hunger Games, Star Trek, Married With Children, Toy Story, Dragonball Z, etc ... "
Characters,Not Used
Community,"In your own words, creatively do you feel like this specific project is focused on serving a particular audience? Autism Awareness, Latin community, LGBTQ community, Black Community, Religious Community, Family Programming, Environmental awareness? A political community? no preference?"
Country,What country are you in?
Duration,What is the total runtime of your submission including credits
Email,Please enter your email address. (the user must enter it twice to ensure accuracy. Can you disable copy/paste?)
First Name,Please enter your first name.
Genre,"What is the genre to of your project? Click on all that apply. Action, Comedy, Drama, Experimental, Fantasy, Horror, Music Video, Sci-Fi, Suspense Thriller"
Goals,"In the future, what are you working towards, any goals? Example: Act in major feature films or major streaming programs, Join the Screen Actors Guild,  etc .."
Inspirations Creative,"Name any creative works that inspired you to perform this role? Example: Indiana Jones, Shrek, Game of Thrones, Ghostbusters, Animal Kingdom, etc ... "
Inspirations People,"Name any creative people that inspired you to perform this role? Example: Jennifer Lopez, Tom Hanks, Julia Roberts, Denzel Washington, etc ... "
Last Name,Please enter your last name.
Learning,Is there anything you learned from working on this project?
Location,What city or state are you in?
Marketing,Would you like to receive 1 email per month about updates to this app and about our latest film festival submission discounts?
Music,Not Used
Non Film Industry Experience,"What are some of the non film/tv industry jobs or experiences that you've had, that helped shape your creative vision?"
Plot,"Highlight the plot, stakes or challenges faced by the main characters?"
Project Location,Where does the story take place?
Project Title,What is the title of this project?
Project Type,Is this project a standalone work or is it an episode in an ongoing series?
Relevant Work Experience,What are some of the film/tv industry projects that may have prepared you for a role this project?
Role,What is your character's name and why is this character important to the story?
Screenings / Awards,Not Used
Script Text,"Please upload your script or use the box below to tell us what the story is about. (character arcs, events, beginning, climax, time perieod, ending, etc ...)  "
Standard AI Prompt Actor's Statement,"ACTOR'S STATEMENT GENERATOR
STANDARD AI Actor's Statement Generator
Create an actor's statement following this exact structure:
Step-by-Step Instructions:

Opening: ""When I first read [character name] in [project title], I knew...""
Paragraph 2: Connect character to personal experience or inspiration
Paragraph 3: Explain what drew you to this specific role
Closing: Share what you hope audiences will take away

Required Elements to Include:

Character name and their importance to the story
Why this role speaks to you personally
Connection to your creative inspirations or past experiences
The community or audience this serves
What you learned or how you grew

Requirements:

Length: 200-250 words
Format: 3-4 paragraphs
Tone: Personal but professional
Include: Character motivation, personal connection, artistic growth
Exclude: Plot ending, fields marked ""Not Used""

Checklist Before Submitting:
✓ Character and project clearly named
✓ Personal connection explained
✓ Artistic reasons articulated
✓ Growth/learning mentioned
✓ Audience impact considered
✓ Under 250 words"
Premium AI Prompt Actor's Statement,"PREMIUM AI Actor's Statement Generator
Craft an authentic actor's statement that reveals the deep artistic and personal resonance between performer and role.
Artistic Approach:
Weave together the threads of personal experience, creative inspiration, and professional growth to create a statement that illuminates why this particular role at this particular moment was essential to your artistic journey. Your statement should read as both a love letter to the character and a window into your creative soul.
Sophisticated Elements:

Emotional Truth: Connect the character's journey to universal human experiences without revealing plot
Artistic Lineage: Position your work within the continuum of performances that inspired you
Transformative Arc: Articulate how inhabiting this character changed you
Community Connection: Demonstrate awareness of who needs to see this story and why
Craft Evolution: Show how past experiences (industry and life) prepared you for this moment

Deeper Considerations:

Balance vulnerability with professionalism
Show rather than tell why you connected to the role
Create thematic echoes between your journey and the character's
Demonstrate understanding of the story's larger purpose
Reveal your unique perspective as an artist

Technical Parameters:

Target 225 words with flexibility (200-250) for authentic expression
Maintain first-person intimacy while achieving universal resonance
Structure should feel organic, not formulaic
Every sentence should deepen the reader's understanding of your artistic commitment

Integration Notes:

Draw from all provided fields to create a cohesive narrative
Let your unique voice shine through while maintaining clarity
Connect personal history to professional purpose
Exclude plot spoilers and ""Not Used"" fields"
